hed	Chad
heg	Indonesia (Papua)
hea	China
heb	Canada	United States	Israel	Australia	Panama	United Kingdom	Palestinian West Bank and Gaza	Germany
hem	Democratic Republic of the Congo
heh	Tanzania
hei	Canada
NOCODE_Sengmai	Myanmar
NOCODE_Molet	Papua New Guinea
uig	Turkey (Asia)	Afghanistan	Kyrgyzstan	Australia	Pakistan	Tajikistan	India	Saudi Arabia	Mongolia	United States	Uzbekistan	Germany	China	Taiwan	Kazakhstan
uis	Papua New Guinea
uiv	Nigeria	Cameroon
NOCODE_Pauxi	Brazil
NOCODE_Mofu-Gudur-Sign-Language	Cameroon
cpi	China
cpn	Ghana
cpa	Mexico
cpb	Brazil	Peru
cpc	Peru
cpg	Greece
cpx	Malaysia (Peninsular)	China	Singapore
cpy	Peru
cps	Philippines
cpu	Peru
mnx	Indonesia (Papua)
mny	Mozambique
mnz	Indonesia (Papua)
scn	Italy
sci	Sri Lanka
sch	India
sck	India
bvr	Australia
mnp	China	Singapore
mnq	Malaysia (Peninsular)
scg	Indonesia (Papua)
mns	Russian Federation (Asia)
mnt	Australia
bvq	Central African Republic
mnv	Solomon Islands
mnw	Thailand	Myanmar
mnh	Democratic Republic of the Congo
mni	India	Bangladesh	Myanmar
mnj	Afghanistan
mnk	Gambia	Senegal	Guinea-Bissau
mnl	Vanuatu
mnm	Papua New Guinea
mnn	Viet Nam
scu	India
mna	Papua New Guinea
mnb	Indonesia (Papua)
dsq	Algeria	Mali
scq	Cambodia
mne	Chad
mnf	Cameroon
qvi	Ecuador
zmj	Australia
smo	Tonga	Samoa	American Samoa	United States	New Zealand	Fiji
zmh	Papua New Guinea
zmi	Malaysia (Peninsular)
zmn	Congo	Gabon
zmo	Sudan
zml	Australia
smn	Finland
zmb	Democratic Republic of the Congo
zmc	Australia
zma	Australia
zmf	Democratic Republic of the Congo
zmg	Australia
zmd	Australia
zme	Australia
zmz	Democratic Republic of the Congo	Congo	Central African Republic
zmx	Congo	Central African Republic
zmy	Australia
bvz	Indonesia (Papua)
zmr	Australia
zms	Democratic Republic of the Congo
zmp	Democratic Republic of the Congo
zmq	Democratic Republic of the Congo
zmv	Australia
zmw	Democratic Republic of the Congo
zmt	Australia
zmu	Australia
dsi	Chad
pbu	Canada	Pakistan	Afghanistan	United Arab Emirates	India	United Kingdom	United States
pbt	Pakistan	Iran	Afghanistan	United Arab Emirates	United Kingdom	Tajikistan
dse	Netherlands
pbp	Guinea	Senegal	Guinea-Bissau
pbs	Mexico
pbr	Tanzania
smc	Papua New Guinea
pby	Papua New Guinea
pbz	Myanmar
pbe	Mexico
NOCODE_Shiwa	Gabon
pbg	Venezuela
pbf	Mexico
pbc	Guyana
pbb	Colombia
bvg	Cameroon
pbo	Senegal	Guinea-Bissau
pbn	Nigeria
pbi	Cameroon
pbh	Venezuela
bvf	Chad
