khw	72.0	36.0	Eurasia	
khh	136.13974	-3.19328	Papua	
khj	7.96524	10.14852	Africa	
khk	106.288735	48.32397	Eurasia	
khl	149.14807	-5.55033	Papua	
khm	105.015373333	12.05155	Eurasia	
khn	74.14197	21.31807	Eurasia	
kho			Eurasia	2013
kha	91.999805	24.97703	Eurasia	
khb	101.281582	21.032106	Eurasia	
khc	123.57825	-5.30994	Papua	
khd	140.75291	-8.85301	Papua	
khe	140.04726	-5.26952	Papua	
khf	101.326945	21.07928	Eurasia	
khg	91.70618	31.93126	Eurasia	
xkj	53.47846	35.89886	Eurasia	
xkk	107.25745	13.82736	Eurasia	
xkh	-57.87162	-1.29991	South America	
xki	37.19953	-1.00166	Africa	
xkn	115.82727	1.78269	Papua	
xko	101.21064	21.06837	Eurasia	
xkl	114.0389	3.54443	Papua	
xkb	1.69523	8.83338	Africa	
xkc	48.62115	36.89973	Eurasia	
xka	72.05328	35.3651	Eurasia	
xkf	90.86331	27.08785	Eurasia	
xkg	-9.96404	14.05464	Africa	
xkd	113.28555	0.98794	Papua	
xke	113.64401	0.64649	Papua	
xkz	90.98223	27.53654	Eurasia	
xkx	149.90664	-6.15563	Papua	
xky	114.2046	2.14141	Papua	
xkr	-46.99999	-18.99999	South America	2013
xks	123.15407	-5.34485	Papua	
xkp	49.76025	37.05288	Eurasia	
xkq	121.97686	-2.6367	Papua	
xkv	22.72016	-25.9208	Africa	
xkw	140.4344	-3.89065	Papua	
xkt	-1.928075	10.970305	Africa	
xku	13.28397	-4.0409	Africa	
nxu	139.87558	-3.43594	Papua	
nxq			Eurasia	
nxr	141.15811	-5.43194	Papua	
nxx	140.72696	-2.65036	Papua	
nxe	121.30956	-8.70513	Papua	
nxd	22.62315	-0.14363	Africa	
nxg	120.97588	-8.79508	Papua	
nxa	126.74064	-8.70733	Papua	
nxm			Africa	
nxl	129.14752	-3.23411	Papua	
nxn	141.47104	-19.44839	Australia	2013
nxi	36.31156	-11.25694	Africa	
osx			Eurasia	2013
osp			Eurasia	2013
oss	43.26738	41.78816	Eurasia	
osu	141.85212	-3.41913	Papua	
ost	9.80188	6.20829	Africa	
NOCODE_Tolai-Nakanai-Trade			Papua	
osi	114.29235	-8.25262	Papua	
tke	36.24898	-16.22762	Africa	
oso	6.21509	7.42868	Africa	
osa	-96.29489	36.78282	North America	
tkb	79.42331	29.0853	Eurasia	
osc			Eurasia	2013
ver	12.74729	8.8658	Africa	
vep	34.7865	60.33531	Eurasia	
tka	-38.99999	-8.49999	South America	2013
tkn	128.96117	27.77365	Eurasia	
ved	81.26177	6.97396	Eurasia	2013
NOCODE_Shang			Africa	
vec	13.034455	45.40985	Eurasia	
NOCODE_Pinghua	112.101667	27.6725	Eurasia	
ven	29.952345	-22.187955	Africa	
veo	-119.034576	34.176135	North America	2013
vel	5.94408	52.27016	Eurasia	
vem	13.66327	10.830135	Africa	
lra	109.538965	1.270265	Papua	
lrc	47.91602	32.54384	Eurasia	
nlz	165.8	-10.8	Papua	
lre	-72.5	45.33	North America	2013
lrg	130.92221	-12.4111	Australia	
lri			Africa	
lrk	68.715	26.095	Eurasia	
lrm			Africa	
lrl	54.63449	27.6436	Eurasia	
lro	30.38236	11.39154	Africa	
lrn	134.40953	-6.30338	Papua	
lrr	87.39592	26.93197	Eurasia	
NOCODE_Aruba			South America	2013
lrt	122.7619	-8.4746	Papua	
lrv	167.38662	-16.19708	Papua	
lrz	167.435503	-13.74272	Papua	
tkt	80.89308	28.58666	Eurasia	
tkr	46.88585	41.59156	Eurasia	
tks	47.99538	38.19713	Eurasia	
tkp	168.8223	-12.27661	Papua	
NOCODE_South-Eastern-Tasmanian-Hinterland	146.885376	-42.988576	Australia	2013
zrs	134.07073	-3.4511	Papua	
zrp	4.38771	45.56274	Eurasia	2013
zrg	81.33599	23.43055	Eurasia	
tkx	140.26914	-5.13343	Papua	
zro	-76.36398	-1.99871	South America	
zrn	18.53737	12.22745	Africa	
ydk	145.75776	-4.94044	Papua	
ydg	71.50765	36.01403	Eurasia	
ydd	19.42	51.75	Eurasia	
yde	142.46152	-3.51156	Papua	
yds	34.78181	31.73421	Eurasia	
ipi	143.08884	-5.42586	Papua	
ipo	144.8632	-7.37424	Papua	
NOCODE_Butler-English			Eurasia	
dzl	91.37399	27.78546	Eurasia	
ygi				2013
dzo	89.581604	27.410786	Eurasia	
czn	-97.45546	16.52799	North America	
gzn	127.97604	-0.42618	Papua	
gzi	49.45528	34.03574	Eurasia	
gza	35.13733	10.29907	Africa	
NOCODE_Iraqi-Sign			North America	
ssx	143.95093	-6.7028	Papua	
fpe	8.68929	3.53638	Africa	
sst	145.03242	-6.08728	Papua	
ssl	-2.36423	10.85614	Africa	
sso	142.04893	-3.01976	Papua	
ssn	37.85681	0.55656	Africa	
ssh	56.171125	25.93902	Eurasia	
ttz	85.08175	28.47193	Eurasia	
tty	138.2874	-2.80285	Papua	
NOCODE_Medefidrin			Africa	
tts	102.98638	14.32526	Eurasia	
ttr	11.80953	11.0376	Africa	
ttq	4.47692	13.98783	Africa	
ttp	121.91495	-2.50998	Papua	
ttw	114.82014	3.85226	Papua	
ttv	146.88795	-2.18168	Papua	
ttu	155.49575	-6.19922	Papua	
ttt	49.33837	38.87186	Eurasia	
ttk	-76.63789	2.55149	South America	2013
ttj	30.63887	0.57291	Africa	
tti	140.71017	-2.56434	Papua	
tth	107.056135	16.186515	Eurasia	
tto	106.87347	15.9083	Eurasia	
ttn	140.80325	-3.87428	Papua	
ttm	-136.64414	62.82351	North America	
ttl	24.375105	-16.957495	Africa	
ttc	-92.11357	15.45991	North America	
ttb	11.96032	8.4809	Africa	
tta	-78.75	37.67	North America	
ttg	114.63828	4.74327	Papua	
ttf	10.65924	4.65626	Africa	
tte	151.03439	-10.65985	Papua	
ttd	147.09377	-8.3486	Papua	
jig	133.65904	-17.16504	Australia	
jid	8.65697	9.05077	Africa	
djr	135.59014	-12.02098	Australia	
dju	143.24107	-4.51011	Papua	
jic	-87.03719	14.66859	North America	
djw	123.1856	-16.41625	Australia	
jia	14.9611	11.35547	Africa	
jio	109.85372	18.55481	Eurasia	
jil	145.70602	-5.56611	Papua	
jim	13.52578	10.25105	Africa	
jih	102.63	32.225	Eurasia	
jii	44.12938	1.84353	Africa	
jiv	-78.18923	-3.45136	South America	
djc	18.79962	12.11866	Africa	
djb	134.96743	-12.93004	Australia	
dje	2.41172666667	12.8553766667	Africa	
djd	130.0598	-15.05583	Australia	
djf	144.93245	-16.91051	Australia	2013
dji	134.82031	-12.46201	Australia	
djk	-54.641915	4.3126	South America	
djj	134.09666	-12.01331	Australia	
djm	-2.579995	14.1794	Africa	
djl	116.98858	-24.10724	Australia	2013
djo	110.64722	0.29738	Papua	
djn	133.00152	-14.13608	Australia	
nsy			Papua	
NOCODE_Amotomanco			North America	
NOCODE_Tosu	102.083333	28.533333	Eurasia	
NOCODE_Nori			Papua	2013
bly	1.27435	10.70255	Africa	
blx	120.182	14.96171	Papua	
blz	123.28932	-0.86809	Papua	
blt	102.9279625	18.957235	Eurasia	
blw	121.27186	17.09937	Papua	
blv	15.0867	-10.35106	Africa	
blq	147.28194	-2.5604	Papua	
blp	159.41863	-8.15058	Papua	
bls	119.68862	-0.05644	Papua	
blr	99.7404733333	22.0092033333	Eurasia	
blm	29.79543	6.40428	Africa	
bll	-89.19508	31.31999	North America	
blo	1.601685	9.11127	Africa	
bln	124.28969	13.69895	Papua	
bli	18.09748	-1.38362	Africa	
blh	-9.9765	7.54885	Africa	
blk	97.596905	20.21099	Eurasia	
blj	117.29306	2.75927	Papua	
ble	-15.32209	11.82031	Africa	
bld	123.88798	0.39044	Papua	
hch	-104.06228	21.95399	North America	
blf	121.51903	0.97727	Papua	
bla	-113.109275	49.066915	North America	
blc	-126.68948	52.34481	North America	
blb	156.66311	-7.92388	Papua	
NOCODE_Ndambomo			Africa	
onj	149.12064	-9.31824	Papua	
onk	141.87974	-3.32403	Papua	
oni	132.06232	-2.75976	Papua	
onn	142.77582	-6.30876	Papua	
ono	-78.04973	42.98638	North America	
onb	109.97126	19.86337	Eurasia	
ona	-68.5	-54	South America	
ong	142.1308	-3.2929	Papua	
one	-84.057715	43.77286	North America	
onx	132.083	-2.83	Papua	2013
onr	142.00599	-3.25535	Papua	
ons	147.57908	-6.19223	Papua	
onp	92.18383	27.7686	Eurasia	
onw	31.748657	18.760713	Africa	2013
ont	145.76529	-6.45912	Papua	
onu	167.59921	-16.26379	Papua	
uky			Australia	2013
ukw	6.48559	5.78892	Africa	
uku	5.58213	7.48032	Africa	
fmu	80.47121	20.17542	Eurasia	
uks	-46.42134	-2.54091	South America	
ukr	24.395786	48.175842	Eurasia	
fmp	10.14425	5.18158	Africa	
ukp	9.02603	6.52883	Africa	
lnu	11.83779	9.75787	Africa	
ukl	30.55304	50.41113	Eurasia	
ukh	16.26705	2.9095	Africa	
ukg	145.51442	-4.94407	Papua	
lnw				2013
uka	132.52827	-1.92547	Papua	
NOCODE_Taimyr-Pidgin-Russian			Eurasia	
lnm	143.92483	-4.32557	Papua	
rmc	20.312905	48.1967883333	Eurasia	
rma	-83.85714	11.50069	North America	
lni	155.74759	-6.43363	Papua	
rmg	9.48913	62.62172	Eurasia	
sak	11.78704	0.25188	Africa	
saj	127.49252	1.00742	Papua	
sah	133.98031	61.69744	Eurasia	
sao	139.62656	-3.16632	Papua	
